copula,loglik,AIC,BIC,R_12,R_13,R_23,nu,theta
t,512.513705407442,-1017.027410814884,-1003.0882230809214,0.9604449066218097,0.8708117310618539,0.7901162939196941,3.8668565313926067,
Gaussian,488.71640256825634,-971.4328051365127,-960.9784143360407,0.9621511672968379,0.8697199714325361,0.8021595658289984,,
Gumbel,381.3719036819591,-760.7438073639182,-757.2590104304276,,,,,2.9761199613394145
Frank,335.0687111035686,-668.1374222071372,-664.6526252736465,,,,,9.717952294079275
Clayton,320.66216108352705,-639.3243221670541,-635.8395252335634,,,,,2.7465749917118365
