,510500,000852,000300
count,60000.0,60000.0,60000.0
mean,6.976641654968262,7362.6513671875,4498.8994140625
std,1.278992772102356,1439.70751953125,784.8385009765625
min,2.99418568611145,2747.2275390625,2051.31884765625
25%,6.074989318847656,6350.1256103515625,3942.79736328125
50%,6.86211371421814,7223.853759765625,4430.71142578125
75%,7.7557631731033325,8223.427001953125,4981.8133544921875
max,16.537498474121094,17863.54296875,9437.4375
